"IATA","province"
"YSF","Saskatchewan"
"YSK","Nunavut"
"YST","Manitoba"
"YTL","Ontario"
"YVZ","Ontario"
"YWP","Ontario"
"YXN","Nunavut"
"YZG","Quebec"
"ZAC","Manitoba"
"ILF","Manitoba"
"ZBF","New Brunswick"
"ZEM","Quebec"
"ZFD","Saskatchewan"
"ZGI","Manitoba"
"ZJN","Manitoba"
"ZKE","Ontario"
"MSA","Ontario"
"ZMT","British Columbia"
"ZPB","Ontario"
"ZRJ","Ontario"
"ZSJ","Ontario"
"ZTM","Manitoba"
"ZUM","Newfoundland and Labrador"
"ZWL","Saskatchewan"
"YPX","Quebec"
"YTQ","Quebec"
"QBC","British Columbia"
"YVB","Quebec"
"YIF","Quebec"
"ZSW",\N
"YBV","Manitoba"
"YTM","Quebec"
"NH2","Newfoundland and Labrador"
"YSO","Newfoundland and Labrador"
"YWB","Quebec"
"YTF","Quebec"
"YGV","Quebec"
"YXK","Quebec"
"XTL","Manitoba"
"XLB","Manitoba"
"XSI","Manitoba"
"YBT","Manitoba"
"ZGR","Manitoba"
"YCR","Manitoba"
"YRS","Manitoba"
"YOP","Alberta"
"YBY","Alberta"
"ZNA","British Columbia"
"YGG",\N
"YJM","British Columbia"
"YDT","British Columbia"
"YNJ","British Columbia"
"ZEL","British Columbia"
"YFJ","Northwest Territories"
"YQI","Nova Scotia"
"ZBA","Ontario"
"CW3","Nova Scotia"
"NC3","Ontario"
"YOO","Ontario"
"YZY","British Columbia"
"YBW","Alberta"
"YGE","British Columbia"
"YRV","British Columbia"
"YTA","Ontario"
"YSD","Alberta"
"YCC","Ontario"
"TT5","Quebec"
"ZKG","Quebec"
"YBI","Newfoundland and Labrador"
"YZZ","British Columbia"
"AP5",\N
"YAB","Nunavut"
"KEW","Ontario"
"YSP","Ontario"
"YHF","Ontario"
"YHN","Ontario"
"YKX","Ontario"
"YMG","Ontario"
"YXZ","Ontario"
"YEM","Ontario"
"KD9","Ontario"
"NY3","Ontario"
"YFD","Ontario"
"AV3","British Columbia"
"ZML","British Columbia"
"YGM","Manitoba"
"JT2","Manitoba"
"YBO","British Columbia"
"YRQ","Quebec"
"ZBM","Quebec"
"YCN","Ontario"
"YLK","Ontario"
"YEE","Ontario"
"NU8","Ontario"
"ND4","Ontario"
"NF4","Ontario"
"YCM","Ontario"
"NV8","Ontario"
"NJ4","Ontario"
"LA4","Ontario"
"YPD","Ontario"
"YHS","Ontario"
"YBW",\N
"YEL","Ontario"
"AMN",\N
"DU9","Ontario"
"HZP","Alberta"
"EW9","Alberta"
"YBA","Alberta"
"EG4","Alberta"
"EC4","Alberta"
"JM9",\N
"KM8","Ontario"
"YSE","British Columbia"
"YAH","Quebec"
"YAL","British Columbia"
"YAU","Nova Scotia"
"YBU","Saskatchewan"
"YCE","Ontario"
"YCP","British Columbia"
"YCQ","British Columbia"
"XRR","Yukon"
"YDO","Quebec"
"YEY","Quebec"
"YGD","Ontario"
"YHE","British Columbia"
"YHT","Yukon"
"YDG","Nova Scotia"
"YJF","Northwest Territories"
"YKJ","Saskatchewan"
"YLR","Manitoba"
"YME","Quebec"
"YML","Quebec"
"YNN","Manitoba"
"YOS","Ontario"
"YPS","Nova Scotia"
"YQS","Ontario"
"YRO","Ontario"
"YRP","Ontario"
"YSH","Ontario"
"YSL","New Brunswick"
"YVD","Manitoba"
"YVE","British Columbia"
"YXQ","Yukon"
"YSN","British Columbia"
"KES","Manitoba"
"XPK","Manitoba"
"ZGF","British Columbia"
"ZJG","Manitoba"
"YTD","Manitoba"
"PIW","Manitoba"
"XPP","Manitoba"
"WPC","Alberta"
"ZST","British Columbia"
"ZUC","Ontario"
